CURVE,X,Y
75,70,0.15
263,69,0
263,70,31.1
263,80,33.2
263,90,35.4
78,69,0
78,70,1
71,69,0
71,70,1
71,90,1
71,91,0
351,69,0
351,70,34.5
351,80,37
351,90,39.6
126,69,0
126,70,34.5
126,80,37
126,90,39.6
259,69,0
259,70,107.9
259,80,128.5
259,90,147.5
123,69,0
123,70,87
123,80,101.4
123,90,115.3
70,69,0
70,70,32.2
70,80,34.7
70,90,37.3
261,69,0
261,70,179.9
261,80,214.1
261,90,245.9
348,69,0
348,70,173.9
348,80,202.7
348,90,230.7
122,69,0
122,70,173.9
122,80,202.7
122,90,230.7
524,69,0
524,70,241.6
524,80,285.7
524,90,325.9
476,69,0
476,70,230.2
476,80,274.1
476,90,314.7
260,69,0
260,70,431.7
260,80,513.9
260,90,590.1
68,69,0
68,70,201.3
68,80,238.1
68,90,271.6
523,69,0
523,70,563.6
523,80,666.7
523,90,760.6
475,69,0
475,70,489.3
475,80,582.4
475,90,668.8
349,69,0
349,70,695.6
349,80,810.8
349,90,922.7
477,69,0
477,70,719.5
477,80,856.5
477,90,983.5
262,69,0
262,70,719.5
262,80,856.5
262,90,983.5
124,69,0
124,70,608.6
124,80,709.4
124,90,807.4
350,69,0
350,70,869.5
350,80,1013.5
350,90,1153.4
125,69,0
125,70,869.5
125,80,1013.5
125,90,1153.4
73,69,0
73,91,0
73,92,1
72,69,0
72,90,0
72,91,1
72,92,0
69,69,0
69,70,805.2
69,80,952.4
69,90,1086.5
67,69,0
67,70,483.1
67,80,571.4
67,90,651.9
66,69,0
66,70,120.8
66,80,142.9
66,90,163
55,0,524.5
520,0,524.5
520,10,828
520,20,785
520,30,777
520,40,772
520,50,758
520,60,739
520,70,714
520,80,674
520,90,625
61,0,524.5
61,10,828
61,20,785
61,30,777
61,40,772
61,50,758
61,60,739
61,70,714
61,80,674
61,90,625
386,189,0
399,189,0
399,190,0.15
398,189,0
398,190,0.25
389,189,0
389,190,0.21
388,189,0
388,190,0.28
397,189,0
397,190,0.6
387,189,0
387,190,0.51
390,189,0
390,190,1
383,189,0
383,190,1
383,210,1
383,211,0
396,189,0
396,190,52
396,200,55.3
396,210,58.1
396,220,60.4
396,230,62.6
396,240,64.7
396,250,66.7
396,260,69.1
396,280,73.5
396,290,75.5
382,189,0
382,190,31.5
382,200,32.2
382,210,32.7
382,230,33.5
382,240,33.8
382,260,34.6
382,270,35.1
382,290,35.9
395,189,0
395,190,86.7
395,200,92.1
395,210,96.9
395,220,100.8
395,230,104.4
395,250,111.2
395,260,115.2
395,270,118.9
395,280,122.4
395,290,125.8
381,189,0
381,190,72.8
381,200,77.4
381,210,81.4
381,220,84.6
381,230,87.7
381,240,90.6
381,250,93.4
381,260,96.7
381,270,99.9
381,280,102.8
381,290,105.6
379,189,0
379,190,97.1
379,200,103.2
379,210,108.5
379,220,112.8
379,230,116.9
379,240,120.8
379,250,124.6
379,260,129
379,270,133.2
379,280,137.1
379,290,140.8
394,189,0
394,190,208.2
394,200,221
394,210,232.5
394,220,241.8
394,230,250.6
394,250,267
394,260,276.4
394,270,285.4
394,280,293.8
394,290,301.7
385,189,0
385,211,0
385,212,1
384,189,0
384,210,0
384,211,1
384,212,0
380,189,0
380,190,346.9
380,200,368.4
380,210,387.5
380,220,403
380,230,417.6
380,240,431.3
380,250,444.9
380,260,460.7
380,270,475.6
380,280,489.7
380,290,503
378,189,0
378,190,177
378,200,187.8
378,210,197.6
378,220,205.6
378,230,213
378,240,219.9
378,250,226.9
378,260,235
378,270,242.5
378,280,249.8
378,290,256.6
42,99,0
218,99,0
218,100,0.1
163,99,0
163,100,0.1
217,99,0
217,100,0.2
162,99,0
162,100,0.2
154,99,0
154,100,0.18
219,99,0
219,100,0.7
208,99,0
208,100,0.61
207,99,0
207,100,0.39
45,99,0
45,100,0.2
155,99,0
155,100,0.82
44,99,0
44,100,0.7
43,99,0
43,100,0.1
206,99,0
206,100,26.9
206,110,28
206,120,29
206,130,29.8
206,140,30.3
206,150,31
206,160,31.6
206,170,32.3
206,190,33.3
206,200,33.7
206,220,34.7
206,230,35.1
206,240,35.4
206,250,35.8
206,290,37
151,99,0
151,100,27.2
151,110,28.3
151,120,29.3
151,130,30
151,140,30.6
151,160,32
151,170,32.6
151,190,33.6
151,200,34
151,220,35
151,240,35.8
151,250,36.1
151,260,36.5
151,280,37.1
151,290,37.3
46,99,0
46,100,1
39,99,0
39,100,1
39,120,1
39,121,0
215,99,0
215,100,29.8
215,110,33.9
215,120,37.5
215,130,40.6
215,140,43.3
215,160,48.5
215,170,50.9
215,180,52.9
215,190,54.7
215,200,56.2
215,210,57.8
215,230,60.4
215,250,62.6
215,270,64.4
215,290,65.8
160,99,0
160,100,31.8
160,110,36
160,120,39.7
160,130,42.9
160,140,45.7
160,150,48.6
160,160,51.2
160,170,53.6
160,180,55.7
160,190,57.5
160,200,59.2
160,220,62.2
160,230,63.5
160,240,64.7
160,260,66.7
160,270,67.6
160,280,68.4
160,290,69
214,99,0
214,100,59.7
214,110,67.8
214,120,75
214,130,81.2
214,140,86.6
214,150,91.9
214,160,97
214,170,101.7
214,180,105.8
214,190,109.3
214,200,112.5
214,210,115.5
214,220,118.3
214,230,120.8
214,240,123.1
214,250,125.2
214,260,127.1
214,280,130.3
214,290,131.5
159,99,0
159,100,63.6
159,110,72
159,120,79.4
159,130,85.7
159,150,97.1
159,160,102.5
159,170,107.2
159,180,111.3
159,190,114.9
159,200,118.3
159,210,121.5
159,220,124.3
159,230,127
159,240,129.4
159,250,131.5
159,260,133.4
159,270,135.2
159,280,136.7
159,290,138.1
148,99,0
148,100,57.3
148,110,64.8
148,120,71.5
148,130,77.2
148,150,87.4
148,160,92.2
148,170,96.5
148,180,100.2
148,190,103.4
148,200,106.5
148,210,109.3
148,220,111.9
148,230,114.3
148,240,116.4
148,250,118.3
148,260,120.1
148,270,121.7
148,290,124.3
38,99,0
38,100,29.7
38,140,34.1
203,99,0
203,100,116.4
203,110,132.1
203,120,146.2
203,130,158.3
203,140,168.9
203,150,179.1
203,160,189.2
