TRACK,LABEL,METHOD,CURVE
13,feature.Seral.CWHvm_DR_HW_M.regenerating,,7
13,feature.Seral.CWHvm_DR_HW_M.young,,8
13,feature.Seral.immature,,4
13,feature.Seral.mature,,5
13,feature.Seral.overmature,,6
13,feature.Seral.regenerating,,7
13,feature.Seral.young,,8
13,feature.SpeciesProp.unmanaged.CW,,9
13,feature.SpeciesProp.unmanaged.FDC,,10
13,feature.SpeciesProp.unmanaged.HW,,11
13,feature.Yield.unmanaged.CW,,160
13,feature.Yield.unmanaged.FDC,,161
13,feature.Yield.unmanaged.HW,,162
13,feature.Yield.unmanaged.Total,,163
14,feature.Area.managed,,2
14,feature.Area.og1.CWHvm_DR_HW_M,,0
14,feature.Area.og1.total,,0
14,feature.Area.og2.CWHvm_DR_HW_M,,1
14,feature.Area.og2.total,,1
14,feature.QMD.managed.CWHvm_DR_HW_M,,164
14,feature.Seral.CWHvm_DR_HW_M.immature,,4
14,feature.Seral.CWHvm_DR_HW_M.mature,,5
14,feature.Seral.CWHvm_DR_HW_M.overmature,,6
14,feature.Seral.CWHvm_DR_HW_M.regenerating,,7
14,feature.Seral.CWHvm_DR_HW_M.young,,8
14,feature.Seral.immature,,4
14,feature.Seral.mature,,5
14,feature.Seral.overmature,,6
14,feature.Seral.regenerating,,7
14,feature.Seral.young,,8
14,feature.SpeciesProp.managed.CW,,9
14,feature.SpeciesProp.managed.FDC,,142
14,feature.SpeciesProp.managed.HW,,11
14,feature.Yield.managed.CW,,165
14,feature.Yield.managed.FDC,,166
14,feature.Yield.managed.HW,,167
14,feature.Yield.managed.Total,,168
15,feature.Area.og1.CWHvm_HW_CW_L,,176
15,feature.Area.og1.total,,176
15,feature.Area.og2.CWHvm_HW_CW_L,,1
15,feature.Area.og2.total,,1
15,feature.Area.unmanaged,,2
15,feature.QMD.unmanaged.CWHvm_HW_CW_L,,177
15,feature.Seral.CWHvm_HW_CW_L.immature,,4
15,feature.Seral.CWHvm_HW_CW_L.mature,,178
15,feature.Seral.CWHvm_HW_CW_L.overmature,,117
15,feature.Seral.CWHvm_HW_CW_L.regenerating,,7
15,feature.Seral.CWHvm_HW_CW_L.young,,8
15,feature.Seral.immature,,4
15,feature.Seral.mature,,178
15,feature.Seral.overmature,,117
15,feature.Seral.regenerating,,7
15,feature.Seral.young,,8
15,feature.SpeciesProp.unmanaged.CW,,179
15,feature.SpeciesProp.unmanaged.HW,,180
15,feature.Yield.unmanaged.CW,,181
15,feature.Yield.unmanaged.HW,,182
15,feature.Yield.unmanaged.Total,,183
16,feature.Area.managed,,2
16,feature.Area.og1.CWHvm_HW_CW_L,,176
16,feature.Area.og1.total,,176
16,feature.Area.og2.CWHvm_HW_CW_L,,1
16,feature.Area.og2.total,,1
16,feature.QMD.managed.CWHvm_HW_CW_L,,184
16,feature.Seral.CWHvm_HW_CW_L.immature,,4
16,feature.Seral.CWHvm_HW_CW_L.mature,,178
16,feature.Seral.CWHvm_HW_CW_L.overmature,,117
16,feature.Seral.CWHvm_HW_CW_L.regenerating,,7
16,feature.Seral.CWHvm_HW_CW_L.young,,8
16,feature.Seral.immature,,4
16,feature.Seral.mature,,178
16,feature.Seral.overmature,,117
16,feature.Seral.regenerating,,7
16,feature.Seral.young,,8
16,feature.SpeciesProp.managed.CW,,185
16,feature.SpeciesProp.managed.HW,,180
16,feature.Yield.managed.CW,,186
16,feature.Yield.managed.HW,,187
16,feature.Yield.managed.Total,,188
17,feature.Area.managed,,2
17,feature.Area.og1.CWHvm_HW_CW_L,,176
17,feature.Area.og1.total,,176
17,feature.Area.og2.CWHvm_HW_CW_L,,1
17,feature.Area.og2.total,,1
17,feature.QMD.managed.CWHvm_HW_CW_L,,184
17,feature.Seral.CWHvm_HW_CW_L.immature,,4
17,feature.Seral.CWHvm_HW_CW_L.mature,,178
17,feature.Seral.CWHvm_HW_CW_L.overmature,,117
17,feature.Seral.CWHvm_HW_CW_L.regenerating,,7
17,feature.Seral.CWHvm_HW_CW_L.young,,8
17,feature.Seral.immature,,4
17,feature.Seral.mature,,178
17,feature.Seral.overmature,,117
17,feature.Seral.regenerating,,7
17,feature.Seral.young,,8
17,feature.SpeciesProp.managed.CW,,11
17,feature.SpeciesProp.managed.FDC,,9
17,feature.SpeciesProp.managed.HW,,10
17,feature.Yield.managed.CW,,196
17,feature.Yield.managed.FDC,,197
17,feature.Yield.managed.HW,,198
17,feature.Yield.managed.Total,,188
18,feature.Area.og1.CWHvm_FDC_HW_L,,176
18,feature.Area.og1.total,,176
18,feature.Area.og2.CWHvm_FDC_HW_L,,1
18,feature.Area.og2.total,,1
18,feature.Area.unmanaged,,2
18,feature.QMD.unmanaged.CWHvm_FDC_HW_L,,202
18,feature.Seral.CWHvm_FDC_HW_L.immature,,115
18,feature.Seral.CWHvm_FDC_HW_L.mature,,203
18,feature.Seral.CWHvm_FDC_HW_L.overmature,,204
18,feature.Seral.CWHvm_FDC_HW_L.regenerating,,7
18,feature.Seral.CWHvm_FDC_HW_L.young,,8
18,feature.Seral.immature,,115
18,feature.Seral.mature,,203
18,feature.Seral.overmature,,204
18,feature.Seral.regenerating,,7
18,feature.Seral.young,,8
18,feature.SpeciesProp.unmanaged.CW,,40
18,feature.SpeciesProp.unmanaged.FDC,,41
18,feature.SpeciesProp.unmanaged.HW,,42
18,feature.Yield.unmanaged.CW,,205
18,feature.Yield.unmanaged.FDC,,206
18,feature.Yield.unmanaged.HW,,207
18,feature.Yield.unmanaged.Total,,208
19,feature.Area.managed,,2
19,feature.Area.og1.CWHvm_FDC_HW_L,,176
19,feature.Area.og1.total,,176
19,feature.Area.og2.CWHvm_FDC_HW_L,,1
19,feature.Area.og2.total,,1
19,feature.QMD.managed.CWHvm_FDC_HW_L,,209
19,feature.Seral.CWHvm_FDC_HW_L.immature,,115
